No.faults_Sc,Section,Horizons,Lithology,Uncertainty,Displacements,Throw,Heave,Length (m),Fault Av Plunge deg,Fault Av Plunge Azimuth,Angle (deg),Bedding plane dip HW,Bedding plane Azimuth HW,Bedding plane dip FW,Bedding plane Azimuth FW,Fault size
Fault8_10,10,Pr,Ryolite,Assumed,38.1,10.7,36.8,1905.7,34.81,155.45,15.47,1.28,327.6,11.72,335.21,Medium
Fault8_10,10,HU,Fine sst with siltyclay ,Assumed,228,88.8,209.9,1905.7,34.81,155.45,22.87,5.72,320.21,12.83,338.37,Medium
Fault8_10,10,Ka,Fine sst with siltyclay ,Assumed,259.7,91.2,243,1905.7,34.81,155.45,18.64,14.7,319.49,10.93,336.57,Medium
Fault8_10,10,Er,Fine sst with siltyclay ,Assumed,162.2,51.2,153.9,1905.7,34.81,155.45,17.88,24.18,319.33,11.19,336.01,Medium
Fault8_10,10,Gu,Fine sst with siltyclay ,Assumed,176.3,83.7,155.1,1905.7,34.81,155.45,27.59,0.89,323.27,13.98,340.04,Medium
Fault8_10,10,Ma,Fine sst with siltyclay ,Assumed,208.5,89.2,188.2,1905.7,34.81,155.45,22.53,3.53,320.39,13.16,339.02,Medium
Fault8_10,10,F,Claystone,Secured,136.8,113.3,76.6,1905.7,34.81,155.45,54.59,22.03,334.04,37.38,334.04,Medium
FaultS23_5,5,Zo8,Ryolite,Proven,61,26.2,55.1,1997.8,26.78,336.51,25.64,7.71,332.14,3.82,326.77,Medium
FaultS23_5,5,La,Fine sst with siltyclay ,Proven,150.3,64,136.1,1997.8,26.78,336.51,25.41,9.05,339.24,5.82,326.77,Medium
FaultS23_5,5,Gu,Fine sst with siltyclay ,Proven,230.9,70.5,219.7,1997.8,26.78,336.51,17.43,7.93,332.76,5.71,326.7,Medium
FaultS23_5,5,Ma,Fine sst with siltyclay ,Secured,188.5,58.4,179.2,1997.8,26.78,336.51,18.39,15.54,347.27,2.14,321.69,Medium
FaultS23_5,5,Hu,Fine sst with siltyclay ,Secured,85.6,30.2,80.1,1997.8,26.78,336.51,20.21,18.32,356.29,0.92,142.7,Medium
FaultS23_5,5,Ka,Fine sst with siltyclay ,Secured,42.7,27.5,32.5,1997.8,26.78,336.51,43.42,0.65,337.63,27.07,347.79,Medium
Fault8_9,8,Zo2,Ryolite,Assumed,206.3,126.3,162.8,2034.2,36.24,154.55,34.91,4.15,183.14,37.92,29.61,Medium
Fault8_9,8,Zo8,Ryolite,Assumed,193.9,112,157,2034.2,36.24,154.55,35.31,4.21,167.34,38.83,22.7,Large
Fault8_9,9,Pr,Ryolite,Assumed,17,6.2,15.8,2034.2,36.24,154.55,26.52,2.19,328.67,12.42,331.68,Large
Fault8_9,9,Gu,Fine sst with siltyclay ,Assumed,228.6,96.9,206.6,2034.2,36.24,154.55,24.79,2,140.56,17.03,340.52,Large
Fault8_9,9,Ma,Fine sst with siltyclay ,Assumed,240.6,90.4,222.6,2034.2,36.24,154.55,19.85,0.54,320.41,14.79,337.71,Large
Fault8_9,9,Hu,Fine sst with siltyclay ,Assumed,324.4,110.9,304.8,2034.2,36.24,154.55,19.59,1.23,320.33,13.05,335.73,Large
Fault8_9,9,Ka,Fine sst with siltyclay ,Assumed,120.9,38.9,114.5,2034.2,36.24,154.55,19.5,13.34,320.32,11.9,332.61,Large
Fault8_9,9,Er,Fine sst with siltyclay ,Assumed,81.4,27.6,76.6,2034.2,36.24,154.55,19.37,2.34,326.28,12.12,332.23,Large
Fault8_9,9,T,Claystone,Secured,7.5,6.3,4.1,2034.2,36.24,154.55,57.2,27.33,329.63,19.95,328.89,Large
Fault8_9,9,Q,Claystone,Secured,17.1,14.1,9.7,2034.2,36.24,154.55,55.45,23.67,329.63,18.77,328.86,Large
Fault8_9,9,F,Claystone,Secured,89.1,60.6,65.3,2034.2,36.24,154.55,42.36,3.82,21.21,40.19,329.63,Large
Fault9_1,1,Zo2,Ryolite,Proven,107.5,59.6,88,2101.6,32.21,335.93,33.63,5.89,329,19.6,347.72,Large
Fault9_1,1,Zo8,Ryolite,Proven,94.5,50.9,76.9,2101.6,32.21,335.93,33.01,8.65,348.68,7.37,332.02,Large
Fault9_1,1,HU,Fine sst with siltyclay ,Secured,26.8,13.9,22.9,2101.6,32.21,335.93,31.23,12.68,339.88,2.24,338.42,Large
Fault9_1,1,Er,Fine sst with siltyclay ,Assumed,75.4,58.2,47.8,2101.6,32.21,335.93,39.4,12.23,342.64,16.55,328.28,Large
Fault9_1,1,Gu,Fine sst with siltyclay ,Secured,46.7,19.5,42.5,2101.6,32.21,335.93,24.63,11.71,338.28,5.68,327.73,Large
Fault9_1,1,Ma,Fine sst with siltyclay ,Secured,48.4,22.8,42.9,2101.6,32.21,335.93,28.01,8.81,328.15,9.57,327.92,Large
Fault9_1,1,HU,Fine sst with siltyclay ,Secured,26.8,13.9,22.9,2101.6,32.21,335.93,31.23,12.68,339.88,2.24,338.42,Large
Fault9_1,1,Ka,Fine sst with siltyclay ,Secured,49.2,27.1,41.8,2101.6,32.21,335.93,29.1,12.99,341.22,7.65,328.28,Large
Fault9_1,1,F,Claystone,Proven,94,46.8,81.5,2101.6,32.21,335.93,29.88,9.91,332.85,32.54,15.06,Large
FaultS1_3,3,Fi,Sandstone,Secured,935,273.3,886.2,2539.3,1.66,325.04,14.04,2,325.23,18.28,323.47,Large
FaultS1_3,3,Ge1,Mudstone,Proven,935,273.3,886,2539.3,1.66,325.04,14.04,2,325.23,18.28,323.47,Large
FaultS1_3,3,Mg,Mudstone,Secured,812.5,45.1,812.5,2539.3,1.66,325.04,41.13,15.11,323.45,46.85,322.03,Large
FaultS1_3,3,Sb,Mudstone,Assumed,674.2,287.3,560.5,2539.3,1.66,325.04,39.85,23.08,322.03,39.06,322.7,Large
Faults1_1,1,Fi,Sandstone,Assumed,675.9,201.8,644.8,2756.8,1.8,157.75,15.84,4.92,337.79,14.01,324.63,Large
Faults1_1,1,Kr-2,Mudstone,Secured,627.1,123.1,600.2,2756.8,1.8,157.75,41.47,12.69,338.37,9.26,338.47,Large
Faults1_1,1,Mg,Mudstone,Secured,612.8,69.3,612.8,2756.8,1.8,157.75,42.52,14.44,338.37,13.59,325.88,Large
FaultS4_9,9,Gi5,Ryolite,Secured,1154.3,808.3,978.4,2938.9,4.77,323.21,29.89,30.41,323.1,0.06,143.1,Large
FaultS4_9,9,Fi,Fine sst with siltyclay ,Secured,968,186.3,901,2938.9,4.77,323.21,44.02,57.55,323.1,24.7,143.1,Large
FaultS4_9,9,Mg,Mudstone,Proven,1052,86.4,856.1,2938.9,4.77,323.21,18.8,6.45,323.1,50.12,323.1,Large
FaultS4_9,9,Sb,Mudstone,Secured,939,309.1,829.5,2938.9,4.77,323.21,19.25,32.68,323.1,42.43,323.22,Large
FaultS4_9,9,Hf,Mudstone,Secured,646.2,215.2,609.3,2938.9,4.77,323.21,19.13,33,323.43,11.8,323.07,Large
FaultS4_9,9,Wb,Mudstone,Assumed,678.7,232.2,637.7,2938.9,4.77,323.21,20.55,34.86,323.48,5.1,322.96,Large
FaultS1_5,5,Pr,Ryolite,Assumed,532.2,96.1,496.7,3501.4,6.47,147.88,11.97,5.18,324.13,6.57,330.39,Large
FaultS1_5,5,Fi,Sandstone,Assumed,392.1,22,391.4,3501.4,6.47,147.88,3.32,64.46,330.67,16.27,329.03,Large
FaultS1_5,5,La,Fine sst with siltyclay ,Assumed,98.4,42.4,88.8,3501.4,6.47,147.88,26.58,41.26,323.3,12.19,323.9,Large
FaultS1_5,5,Di,Fine sst with siltyclay ,Assumed,528.2,35.6,503.1,3501.4,6.47,147.88,10.96,40.73,324.13,7.08,330.32,Large
FaultS1_5,5,So,Fine sst with siltyclay ,Assumed,398,57.6,391.4,3501.4,6.47,147.88,10.71,64.78,324.13,7.85,330.28,Large
FaultS1_5,5,Gi5,Fine sst with siltyclay ,Assumed,269.8,38.4,265.7,3501.4,6.47,147.88,1,80.36,324.13,8.83,330.85,Large
FaultS1_5,5,Gu,Fine sst with siltyclay ,Secured,115.6,68.3,93.3,3501.4,6.47,147.88,36.96,11.53,324.13,12.19,323.9,Large
FaultS1_5,5,Ma,Fine sst with siltyclay ,Secured,210.9,134.3,162.6,3501.4,6.47,147.88,36.95,5.5,324.13,8.36,144.13,Large
FaultS1_5,5,Hu,Fine sst with siltyclay ,Secured,164.6,91.3,135,3501.4,6.47,147.88,20.92,6.6,324.13,17.25,324.13,Large
FaultS1_5,5,Ka,Fine sst with siltyclay ,Secured,416.2,155.3,385.8,3501.4,6.47,147.88,23.77,2.23,324.13,3.9,144.13,Large
FaultS1_5,5,Er,Fine sst with siltyclay ,Secured,374.2,155.1,339.9,3501.4,6.47,147.88,29.85,7.74,324.13,3.91,144.13,Large
FaultS1_5,5,Mg,Mudstone,Assumed,728.1,4.4,718.1,3501.4,6.47,147.88,19.8,27.77,332.86,14.81,329.06,Large
FaultS1_5,5,Sb,Mudstone,Assumed,523.8,132.4,480.1,3501.4,6.47,147.88,41.19,36.2,333.81,15,328.83,Large
FaultS1_2,2,Fi,Sandstone,Secured,535.8,178,505,3551.6,8.5,149.6,15.19,9.92,334.46,21.26,334.33,Large
FaultS1_2,2,Ge1,Mudstone,Assumed,719.4,137.7,687.4,3551.6,8.5,149.6,26.57,8.93,334.51,21.26,334.33,Large
FaultS1_2,2,Mg,Mudstone,Assumed,603,72.4,577.6,3551.6,8.5,149.6,26.57,13.95,333.65,14.79,331.07,Large
FaultS1_2,2,Sb,Mudstone,Secured,490.2,255.2,416.2,3551.6,8.5,149.6,17.61,39.91,322.15,57.54,322.24,Large
FaultS1_12,12,Pr,Ryolite,Assumed,52.1,9.7,51.2,4085.1,21.71,147.16,10.74,3.06,325.6,0.55,326.73,Large
FaultS1_12,12,Fi,Sandstone,Assumed,302,65,294.9,4085.1,21.71,147.16,12.95,6.27,142.23,15.62,332.19,Large
FaultS1_12,12,Gu,Fine sst with siltyclay ,Proven,30.3,8,29.2,4085.1,21.71,147.16,15.38,8.71,331.97,8.3,332.07,Large
FaultS1_12,12,Ma,Fine sst with siltyclay ,Secured,16.4,3.7,13.6,4085.1,21.71,147.16,15.38,12.62,331.97,13.12,332.01,Large
FaultS1_12,12,Hu,Fine sst with siltyclay ,Assumed,25.3,6.4,26.5,4085.1,21.71,147.16,13.59,16.67,326.74,12.3,332.01,Large
FaultS1_12,12,Ka,Fine sst with siltyclay ,Assumed,60.6,14.2,58.9,4085.1,21.71,147.16,13.59,12.1,326.37,11.32,332.02,Large
FaultS1_12,12,Er,Fine sst with siltyclay ,Assumed,48.5,11.4,47.2,4085.1,21.71,147.16,13.59,8.03,326.07,0.1,326.63,Large
FaultS1_12,12,Di,Fine sst with siltyclay ,Assumed,135.4,9.4,135.5,4085.1,21.71,147.16,3.99,2.93,325.29,12.62,332,Large
FaultS1_12,12,So,Fine sst with siltyclay ,Assumed,71.2,5.3,71,4085.1,21.71,147.16,4.24,1.75,324.79,13.74,332.02,Large
FaultS1_12,12,Gi5,Fine sst with siltyclay ,Assumed,177.9,89.8,153.6,4085.1,21.71,147.16,30.31,0.73,323.27,14.66,332.14,Large
FaultS1_12,12,Mg,Mudstone,Assumed,250.8,53.7,231.6,4085.1,21.71,147.16,26.18,7.59,140.11,17.35,331.83,Large
FaultS1_12,12,Sb,Mudstone,Assumed,283.6,246,141.2,4085.1,21.71,147.16,60.13,11.93,140.72,13.61,329.6,Large
FaultS1_12,12,Hf,Mudstone,Assumed,284.7,248.4,139.1,4085.1,21.71,147.16,60.74,3.14,323.58,13.81,321.83,Large
FaultS1_12,12,Wb,Mudstone,Assumed,249.8,217.9,122.1,4085.1,21.71,147.16,60.74,4.12,324.85,6.44,320.03,Large
FaultS1_11,11,Pr,Ryolite,Assumed,105.6,2.6,105.5,4367.2,14.88,146.11,1.43,16.6,321.48,6.08,328.33,Large
FaultS1_11,11,Fi,Sandstone,Assumed,179.8,0.5,179.8,4367.2,14.88,146.11,1,1.76,328.34,44.96,328.26,Large
FaultS1_11,11,Di,Fine sst with siltyclay ,Assumed,222.7,108.5,175.7,4367.2,14.88,146.11,48.5,22.19,321.48,10.45,321.45,Large
FaultS1_11,11,So,Fine sst with siltyclay ,Assumed,204.9,117.3,168,4367.2,14.88,146.11,34.93,56.21,321.42,18.28,321.45,Large
FaultS1_11,11,Gi5,Fine sst with siltyclay ,Assumed,235.8,3.9,235.8,4367.2,14.88,146.11,1,5.05,330.46,44.52,324.4,Large
FaultS1_11,11,Hu,Fine sst with siltyclay ,Assumed,35,2.5,34.9,4367.2,14.88,146.11,4.12,24.65,321.45,8.35,141.88,Large
FaultS1_11,11,Ka,Fine sst with siltyclay ,Assumed,105.6,2.6,105.5,4367.2,14.88,146.11,1.43,24.82,321.45,4.2,146.62,Large
FaultS1_11,11,Er,Fine sst with siltyclay ,Assumed,49.7,1.2,49.7,4367.2,14.88,146.11,1.43,29.38,321.35,0.13,146.59,Large
FaultS1_11,11,Mg,Mudstone,Assumed,245.1,80.1,231.6,4367.2,14.88,146.11,19.07,24.44,148.15,32.33,329.63,Large
FaultS1_11,11,Sb,Mudstone,Assumed,262.2,109.6,237.9,4367.2,14.88,146.11,27.76,24.44,148.15,32.33,329.63,Large
FaultS1_11,11,Hf,Mudstone,Assumed,191.8,149.5,120,4367.2,14.88,146.11,51.25,0.33,147.16,21.87,330.34,Large
FaultS1_11,11,Wb,Mudstone,Assumed,126.7,100,79.3,4367.2,14.88,146.11,51.72,3,327.09,15.23,330.74,Large
FaultS1_9,9,Pr,Ryolite,Assumed,304.5,33.3,290.2,4406,8.96,156.97,31.37,4.22,335.2,2.19,328.67,Large
FaultS1_9,9,Fi,Sandstone,Secured,437.9,20.9,437.9,4406,8.96,156.97,2.89,23.51,339.43,8.7,331.21,Large
FaultS1_9,9,Hu,Fine sst with siltyclay ,Assumed,15.1,3.6,14.7,4406,8.96,156.97,13.8,22.87,335.2,22.56,155.2,Large
FaultS1_9,9,Ka,Fine sst with siltyclay ,Assumed,28.8,6.2,28.1,4406,8.96,156.97,12.47,16.27,335.2,1.69,155.2,Large
FaultS1_9,9,Er,Fine sst with siltyclay ,Assumed,76.4,13.8,75.1,4406,8.96,156.97,7.5,8.86,335.2,0.56,335.2,Large
FaultS1_9,9,Di,Fine sst with siltyclay ,Assumed,399.7,197.7,322.8,4406,8.96,156.97,43.96,5.68,335.2,5.48,330.06,Large
FaultS1_9,9,So,Fine sst with siltyclay ,Assumed,455,87.5,373.6,4406,8.96,156.97,32.06,38.4,334.98,6.64,330.24,Large
FaultS1_9,9,Gi5,Fine sst with siltyclay ,Assumed,449,19.7,448.6,4406,8.96,156.97,2.08,30.82,336.93,8.86,332.72,Large
FaultS1_9,9,Mg,Mudstone,Assumed,306.1,114,300.1,4406,8.96,156.97,2.84,33.48,336.4,42.5,347.11,Large
FaultS1_9,9,Sb,Mudstone,Assumed,370.9,159.9,330.2,4406,8.96,156.97,30.29,47.06,338.41,44.01,345.42,Large
FaultS1_9,9,Hf,Mudstone,Assumed,383.3,37.9,380.7,4406,8.96,156.97,10.15,6.93,143.21,30.5,334.15,Large
FaultS1_9,9,Wb,Mudstone,Assumed,300.5,137.9,230.2,4406,8.96,156.97,68.34,27.31,332.45,5.1,322.96,Large
FaultS1_10,10,Pr,Ryolite,Assumed,90.8,6.7,90.5,4478.9,14.53,151.24,1.71,8,156,1.28,327.6,Large
FaultS1_10,10,Fi,Sandstone,Assumed,403.8,85.7,389.9,4478.9,14.53,151.24,5.88,3.54,328.37,39.85,326.25,Large
FaultS1_10,10,Ka,Fine sst with siltyclay ,Secured,41.1,5.2,40.7,4478.9,14.53,151.24,7.32,18.11,342.98,2.12,146.03,Large
FaultS1_10,10,Er,Fine sst with siltyclay ,Assumed,60.1,7.3,59.7,4478.9,14.53,151.24,6.98,0.65,340.4,2.23,146.98,Large
FaultS1_10,10,Di,Fine sst with siltyclay ,Assumed,155,79.3,132.3,4478.9,14.53,151.24,34.08,10.04,152.05,9,342.99,Large
FaultS1_10,10,So,Fine sst with siltyclay ,Assumed,252.1,42.8,223.3,4478.9,14.53,151.24,25.02,18.83,326.19,4.34,339.16,Large
FaultS1_10,10,Gi5,Fine sst with siltyclay ,Assumed,300.5,25.3,299.5,4478.9,14.53,151.24,4.99,16.64,327.97,40.6,326.14,Large
FaultS1_10,10,Mg,Mudstone,Assumed,422.9,40.6,419.2,4478.9,14.53,151.24,15.82,10.21,144.91,36.04,327.1,Large
FaultS1_10,10,Sb,Mudstone,Assumed,368.6,99.1,355,4478.9,14.53,151.24,15.64,13,144.41,30.9,327.54,Large
FaultS1_10,10,Hf,Mudstone,Assumed,306.9,98.8,287.2,4478.9,14.53,151.24,50.71,15.77,143.83,23.54,327.98,Large
FaultS1_10,10,Wb,Mudstone,Assumed,247.5,190,134.9,4478.9,14.53,151.24,65.89,17.89,143.47,19.58,328.15,Large
FaultS1_6,6,Pr,Ryolite,Assumed,632.6,164.7,597.8,4699.4,10.2,146.84,4.84,8.93,326.93,5.63,333.42,Large
FaultS1_6,6,Fi,Sandstone,Secured,514.4,25.3,513,4699.4,10.2,146.84,12.09,16.83,329.9,9.53,332.85,Large
FaultS1_6,6,GU,Fine sst with siltyclay ,Assumed,4.8,1.9,4.4,4699.4,10.2,146.84,22.76,3.32,326.93,6.04,326.93,Large
FaultS1_6,6,Ma,Fine sst with siltyclay ,Assumed,111.9,44.1,102.8,4699.4,10.2,146.84,23.11,1.43,146.93,2.93,146.93,Large
FaultS1_6,6,Hu,Fine sst with siltyclay ,Assumed,260.1,147.6,214.1,4699.4,10.2,146.84,34.21,15.33,326.93,24.76,146.93,Large
FaultS1_6,6,Ka,Fine sst with siltyclay ,Assumed,291,173.1,233.7,4699.4,10.2,146.84,38.09,25.74,326.93,17.19,146.93,Large
FaultS1_6,6,Er,Fine sst with siltyclay ,Assumed,276.2,165.1,221.3,4699.4,10.2,146.84,34.55,46.94,326.93,10.84,146.93,Large
FaultS1_6,6,Di,Fine sst with siltyclay ,Assumed,657.4,99.4,632.4,4699.4,10.2,146.84,32.97,57.18,326.93,2.52,326.93,Large
FaultS1_6,6,So,Fine sst with siltyclay ,Assumed,490.1,69.9,451.1,4699.4,10.2,146.84,34.99,65.3,326.93,23.3,326.93,Large
FaultS1_6,6,Gi5,Fine sst with siltyclay ,Assumed,359.9,106.2,337,4699.4,10.2,146.84,3.01,63.07,326.93,9.28,332.66,Large
FaultS1_6,6,Mg,Mudstone,Assumed,627.3,71.1,616.9,4699.4,10.2,146.84,1,17.13,329.74,15.44,331.58,Large
FaultS1_6,6,Sb,Mudstone,Assumed,555.4,118,512.1,4699.4,10.2,146.84,25.82,29.19,329.74,17,331.1,Large
FaultS1_6,6,Hf,Mudstone,Assumed,428.3,8.5,397.1,4699.4,10.2,146.84,50.6,51.69,329.74,34.33,329.37,Large
FaultS1_6,6,Wb,Mudstone,Assumed,434.5,219.2,333.7,4699.4,10.2,146.84,50.94,6.1,326.43,30.08,329,Large
FaultS1_7,7,Pr,Ryolite,Assumed,728.3,153.7,697.2,4821.5,9.19,152.78,6.82,1.21,159.55,0.99,340.61,Large
FaultS1_7,7,Fi,Sandstone,Assumed,610.1,39.5,608.6,4821.5,9.19,152.78,5.17,27.58,326.76,10.05,330.79,Large
FaultS1_7,7,Ma,Fine sst with siltyclay ,Secured,29.8,10.6,27.9,4821.5,9.19,152.78,20.73,8.75,158.5,0.1,336.9,Large
FaultS1_7,7,Gu,Fine sst with siltyclay ,Assumed,19,6.8,17.8,4821.5,9.19,152.78,20.85,9.23,336.47,6.03,336.44,Large
FaultS1_7,7,Hu,Fine sst with siltyclay ,Assumed,35.9,17.4,31.5,4821.5,9.19,152.78,28.89,1.73,158.87,6.04,158.87,Large
FaultS1_7,7,Ka,Fine sst with siltyclay ,Assumed,393.8,243.8,309.1,4821.5,9.19,152.78,39.44,8.12,158.87,23.23,158.87,Large
FaultS1_7,7,Er,Fine sst with siltyclay ,Assumed,385.5,208.7,313.3,4821.5,9.19,152.78,26.22,4.81,158.87,4.17,157.6,Large
FaultS1_7,7,Di,Fine sst with siltyclay ,Assumed,754.8,71.1,720.4,4821.5,9.19,152.78,30.62,0.82,340.32,2.63,338.16,Large
FaultS1_7,7,So,Fine sst with siltyclay ,Assumed,512.3,128.6,469.7,4821.5,9.19,152.78,39.14,27.4,342,7.77,330.39,Large
FaultS1_7,7,Gi5,Fine sst with siltyclay ,Assumed,517.1,62,501.9,4821.5,9.19,152.78,1.47,62.68,341.43,9.51,330.83,Large
FaultS1_7,7,Mg,Mudstone,Assumed,483.3,19.8,482.7,4821.5,9.19,152.78,1,22.83,326.8,26.77,326.55,Large
FaultS1_7,7,Sb,Mudstone,Assumed,573.5,6.1,551.4,4821.5,9.19,152.78,26.57,31.54,327.45,17.11,334.74,Large
FaultS1_7,7,Hf,Mudstone,Assumed,648.2,2.2,592.9,4821.5,9.19,152.78,40,7.39,326.58,30.31,326.82,Large
FaultS1_7,7,Wb,Mudstone,Assumed,678.6,259,565.1,4821.5,9.19,152.78,46.58,6.06,326.55,25.97,326.83,Large
FaultS1_8,8,Pr,Ryolite,Assumed,614.5,183.1,578.5,4980.6,13.75,143.52,1,1.28,153.23,6.15,163.81,Large
FaultS1_8,8,Fi,Sandstone,Secured,659.8,57.1,657,4980.6,13.75,143.52,5.16,32.27,332.1,10.94,335.57,Large
FaultS1_8,8,Di,Fine sst with siltyclay ,Assumed,921.4,20.9,851.7,4980.6,13.75,143.52,43.48,76.29,333.23,1.47,333.23,Large
FaultS1_8,8,So,Fine sst with siltyclay ,Assumed,663.5,217.6,591,4980.6,13.75,143.52,39.81,38.4,333.23,7.58,331.63,Large
FaultS1_8,8,Ka,Fine sst with siltyclay ,Secured,237.3,140.2,191.4,4980.6,13.75,143.52,35.74,35.72,333.2,17.11,153.2,Large
FaultS1_8,8,Gi5,Fine sst with siltyclay ,Assumed,487.7,12.9,480.7,4980.6,13.75,143.52,1.94,27,350.7,9,332.32,Large
FaultS1_8,8,Er,Fine sst with siltyclay ,Secured,193.1,106.8,160.9,4980.6,13.75,143.52,32.21,4.7,153.22,15.2,153.21,Large
FaultS1_8,8,Mg,Mudstone,Secured,646.5,3.3,645.3,4980.6,13.75,143.52,4.09,19.05,310.91,19.06,337.84,Large
FaultS1_8,8,Sb,Mudstone,Assumed,551.3,40,531.6,4980.6,13.75,143.52,32.74,6.87,318.07,20.37,334.06,Large
FaultS1_8,8,Hf,Mudstone,Assumed,542.2,103.7,492.7,4980.6,13.75,143.52,20.28,5.78,318.75,41.15,297.08,Large
FaultS1_8,8,Wb,Mudstone,Assumed,589.6,262.3,406.2,4980.6,13.75,143.52,64.24,3.66,321.16,29.57,296.76,Large
FaultS1_4,4,Pr,Ryolite,Assumed,508.9,73.2,503.2,5203.7,12.03,148.62,5.97,45.29,349.48,1.27,327.7,Large
FaultS1_4,4,Fi,Sandstone,Secured,842,180.9,814.1,5203.7,12.03,148.62,12.31,2.9,323.38,21.31,323.49,Large
FaultS1_4,4,La,Fine sst with siltyclay ,Secured,114,93.3,139.9,5203.7,12.03,148.62,34.81,22.16,323.57,9.66,143.59,Large
FaultS1_4,4,Gu,Fine sst with siltyclay ,Secured,110.8,58.8,93.8,5203.7,12.03,148.62,29.92,25.56,323.57,6.32,143.59,Large
FaultS1_4,4,Ma,Fine sst with siltyclay ,Secured,292.5,120.4,265.2,5203.7,12.03,148.62,15.35,15.63,323.57,5.95,143.26,Large
FaultS1_4,4,Hu,Fine sst with siltyclay ,Secured,376,111.9,341.7,5203.7,12.03,148.62,6.34,15.62,323.57,33.46,323.57,Large
FaultS1_4,4,Ka,Fine sst with siltyclay ,Secured,464.6,94.9,477.9,5203.7,12.03,148.62,9.12,25.47,326.57,1.07,143.57,Large
FaultS1_4,4,Er,Fine sst with siltyclay ,Secured,574.4,120.2,559.7,5203.7,12.03,148.62,11.7,28.45,333.56,8.06,329.47,Large
FaultS1_4,4,Di,Fine sst with siltyclay ,Secured,554.2,27,541,5203.7,12.03,148.62,27,45.29,349.48,1.27,327.7,Large
FaultS1_4,4,So,Fine sst with siltyclay ,Secured,632.8,68.1,607.3,5203.7,12.03,148.62,22.2,42.9,355.59,43.21,51.03,Large
FaultS1_4,4,Gi5,Fine sst with siltyclay ,Secured,985.9,93.7,937.6,5203.7,12.03,148.62,14.13,41.84,11.63,49.32,29.16,Large
FaultS1_4,4,Mg,Mudstone,Secured,911.9,107.9,883.4,5203.7,12.03,148.62,21.64,18.78,323.52,54.15,323.34,Large
FaultS1_4,4,Sb,Mudstone,Secured,670,215,632,5203.7,12.03,148.62,20.64,36.11,323.34,49.28,323.34,Large
FaultS1_4,4,Hf,Mudstone,Secured,237.8,83.6,221.9,5203.7,12.03,148.62,27.31,2.73,323.34,24.73,332.32,Large
FaultS1_4,4,Wb,Mudstone,Secured,244.3,172,171.6,5203.7,12.03,148.62,50.19,6.45,323.5,21.91,331.82,Large
